campaign_id,comments,company_id,created_at,data.adjectives_bikes.0,data.adjectives_bikes.1,data.adjectives_bikes.2,data.adjectives_motors.0,data.adjectives_motors.1,data.adjectives_motors.2,data.adjectives_pubs.0,data.adjectives_pubs.1,data.adjectives_pubs.2,data.age_class,data.change.levers.0,data.change.levers.1,data.change.levers.2,data.change.motivation,data.change.other_levers,data.change2.levers.0,data.change2.levers.1,data.change2.levers.2,data.change2.motivation,data.change2.other_levers,data.comments,data.company_vehicle,data.confidentiality,data.constraints.0,data.constraints.1,data.constraints.2,data.constraints.3,data.employment_rate,data.equipments.0,data.equipments.1,data.equipments.2,data.equipments.3,data.equipments.4,data.equipments.5,data.equipments.6,data.freq_mod_bike,data.freq_mod_car,data.freq_mod_combined,data.freq_mod_journeys.0.days,data.freq_mod_journeys.0.modes.0,data.freq_mod_journeys.0.modes.1,data.freq_mod_journeys.0.modes.2,data.freq_mod_journeys.1.days,data.freq_mod_journeys.1.modes.0,data.freq_mod_journeys.1.modes.1,data.freq_mod_journeys.1.modes.2,data.freq_mod_journeys.2.days,data.freq_mod_journeys.2.modes.0,data.freq_mod_moto,data.freq_mod_pro_europe_car,data.freq_mod_pro_europe_combined,data.freq_mod_pro_europe_plane,data.freq_mod_pro_europe_train,data.freq_mod_pro_inter_car,data.freq_mod_pro_inter_combined,data.freq_mod_pro_inter_plane,data.freq_mod_pro_inter_train,data.freq_mod_pro_journeys.0.days,data.freq_mod_pro_journeys.0.destination.lat,data.freq_mod_pro_journeys.0.destination.lon,data.freq_mod_pro_journeys.0.hex_id,data.freq_mod_pro_journeys.0.mode,data.freq_mod_pro_journeys.1.days,data.freq_mod_pro_journeys.1.destination.lat,data.freq_mod_pro_journeys.1.destination.lon,data.freq_mod_pro_journeys.1.hex_id,data.freq_mod_pro_journeys.1.mode,data.freq_mod_pro_journeys.2.days,data.freq_mod_pro_journeys.2.hex_id,data.freq_mod_pro_journeys.2.mode,data.freq_mod_pro_journeys.3.days,data.freq_mod_pro_journeys.3.hex_id,data.freq_mod_pro_journeys.3.mode,data.freq_mod_pro_local_bike,data.freq_mod_pro_local_car,data.freq_mod_pro_local_combined,data.freq_mod_pro_local_journeys.0.days,data.freq_mod_pro_local_journeys.0.destination.lat,data.freq_mod_pro_local_journeys.0.destination.lon,data.freq_mod_pro_local_journeys.0.mode,data.freq_mod_pro_local_moto,data.freq_mod_pro_local_pub,data.freq_mod_pro_local_train,data.freq_mod_pro_local_walking,data.freq_mod_pro_region_car,data.freq_mod_pro_region_combined,data.freq_mod_pro_region_moto,data.freq_mod_pro_region_plane,data.freq_mod_pro_region_pub,data.freq_mod_pro_region_train,data.freq_mod_pub,data.freq_mod_train,data.freq_mod_walking,data.freq_trav_pro_inter,data.freq_trav_pro_local,data.freq_trav_pro_region,data.importance_comfort,data.importance_cost,data.importance_env,data.importance_flex,data.importance_most,data.importance_rel,data.importance_time,data.needs_bike,data.needs_car,data.needs_moto,data.needs_pub,data.needs_train,data.needs_walking,data.origin.address,data.origin.lat,data.origin.lon,data.remote_work_rate,data.terms_conditions,data.trav_pro.0,data.trav_pro.1,data.trav_pro.2,data.travel_pro,data.travel_time,data.version,data.workplace.address,data.workplace.lat,data.workplace.lon,data.workplace.name,id,token,typo.reco.access.cargo,typo.reco.access.covoit,typo.reco.access.elec,typo.reco.access.inter,typo.reco.access.marche,typo.reco.access.tpu,typo.reco.access.train,typo.reco.access.vae,typo.reco.access.velo,typo.reco.error,typo.reco.reco_dt2.0,typo.reco.reco_dt2.1,typo.reco.scores.cargo,typo.reco.scores.covoit,typo.reco.scores.elec,typo.reco.scores.inter,typo.reco.scores.marche,typo.reco.scores.tpu,typo.reco.scores.train,typo.reco.scores.vae,typo.reco.scores.velo,typo.reco.t_traj_mm.did,typo.reco.t_traj_mm.oid,typo.reco.t_traj_mm.t_tim,typo.reco.t_traj_mm.t_tp,typo.reco.t_traj_mm.t_velo,typo.reco_actions.mesure_dt1,typo.reco_actions.mesure_dt1.0,typo.reco_actions.mesure_dt1.1,typo.reco_actions.mesure_dt1.2,typo.reco_actions.mesure_dt2,typo.reco_actions.mesure_dt2.0,typo.reco_actions.mesure_dt2.1,typo.reco_actions.mesure_dt2.2,typo.reco_actions.mesure_pro.0,typo.reco_actions.mesure_pro.0.0,typo.reco_actions.mesure_pro.1,typo.reco_actions.mesure_pro.1.0,typo.reco_actions.mesure_pro.2,typo.reco_actions.mesure_pro_loc.0,typo.reco_actions.mesure_pro_regint.0,typo.reco_actions.mesures_globa.0,typo.reco_actions.mesures_globa.1,typo.reco_actions.mesures_globa.2,typo.reco_pro.reco_pro_int,typo.reco_pro.reco_pro_loc,typo.reco_pro.reco_pro_reg,typo.reco_pro.reco_pros.0,typo.reco_pro.reco_pros.1,typo.reco_pro.reco_pros.2,typo.reco_pro.reco_pros.3,updated_at
1,Test de Matthieu 1,1,2025-03-12T15:38:28.277100,fast,ecological,autonomous,polluting,expensive,autonomous,practical,relax,fast,18-24,,,,,,,,,,,,false,,,,,,100,bike,train_subs,upt_subs,,,,,1,0,true,,,,,,,,,,,0,,,,,0,false,0,5,,,,,,,,,,,,,,,,,3,0,true,,,,,0,4,1,2,0,true,0,0,6,6,2,0,2,5,6,5,2,4,5,3,4,2,4,4,1,1,4,2,4,"Chemin de la Pépinière 8, 1213 Lancy CH",46.195622900000004,6.119146000000001,40,,,,,,35,,Route de la Galaise 15 1228 Plan-les-Ouates CH,46.1677445,6.1029748,,31,WOirJfo8h_ejs4tnUllBQQ,,0.7,0.7,0,0,1,1,1,0,,tpu,vae,,47,41,48,62,61,50,56,57,,,,,,,cff_pass_ag,,,,shower,bike_parking,bike_equipment,,,,,,ebike_fleet,train_pro,,,,,velo,train,,,,,2025-03-13T15:33:13.097085
1,,1,2025-03-13T09:13:30.079750,reliable,healthy,relax,polluting,dangerous,constraining,tiring,ecological,safe,65+,,,,,,,,,,,,false,,heavy,,,,100,bike,car_driver,,,,,,2,1,false,,,,,,,,,,,0,,,,,0,false,0,0,,,,,,,,,,,,,,,,,0,0,false,,,,,0,0,0,0,0,false,0,0,0,0,2,0,0,0,0,0,1,1,5,1,1,1,1,3,1,1,3,3,1,"Place de la Navigation, 1201 Geneva CH",46.21181215,6.14968965,40,,,,,,45,,Route de la Galaise 32 1228 Plan-les-Ouates CH,46.1677445,6.1029748,,33,qdDRe5mXcGS1T8BJqAJ_cQ,,0.7,1,0,0,1,1,0,0,,tpu,train,,44,38,45,52,60,51,65,66,,,,,,,cff_pass_ag,,,,cff_pass_ag,,,,,,,,,,,,,,,,,,,,2025-03-13T14:30:59.779947
1,,1,2025-03-13T09:14:48.622697,fast,pleasant,relax,slow,congested,polluting,practical,reliable,safe,26-44,,,,,,,,,,,,true,,,,,,100,bike,,,,,,,3,0,true,,,,,,,,,,,0,,,,,0,false,0,6,,,,,,,,,,,,,,,,,5,0,true,,,,,0,3,0,5,0,false,0,0,0,0,3,3,0,4,4,0,5,1,5,3,1,5,5,5,1,1,5,1,5,"Rue de Versoix, 01210 Ferney-Voltaire FR",46.259803649999995,6.1178092,0,,,,,,40,,Route de la Galaise 32 1228 Plan-les-Ouates CH,46.1677445,6.1029748,,34,AoNJDBTJGTOjVad4xwwIeQ,,0.7,0.7,1,0,1,0,1,0,,vae,tpu,,46,54,54,60,57,52,59,60,,,,,,,shower,bike_parking,bike_equipment,,cff_pass_ag,,,,,,,,ebike_fleet,,,,,,velo,,,,,,2025-03-13T09:23:47.725482
1,,1,2025-03-13T11:14:14.030707,fast,cheap,practical,impractical,polluting,congested,bad_weather,reliable,constraining,45-64,,,,,,,,,,,,false,,,,,,100,bike,car_driver,upt_subs,,,,,4,0,true,,,,,,,,,,,0,,,,,0,false,0,1,,,,,,,,,,,,,,,,,3,0,false,,,,,0,3,4,3,0,true,2,0,2,2,0,1,0,1,5,2,3,4,5,5,5,3,5,5,2,3,3,2,2,1288 Aire-la-Ville CH,46.1906616,6.04427905,40,,,,,,25,,Route de la Galaise 32 1228 Plan-les-Ouates CH,46.1677445,6.1029748,,35,ef-J8KKITwVqS2apCjDJzw,,0.7,0.7,0,0,1,1,1,0,,vae,tpu,,49,47,51,54,52,52,62,63,,,,,,,shower,bike_parking,bike_equipment,,cff_pass_ag,,,,,,,,ebike_fleet,train_pro,,,,,velo,train,,,,,2025-03-13T11:23:54.401963
3,,2,2025-03-13T14:11:29.612352,,,,,,,,,,26-44,,,,,,,,,,,,false,,,,,,80,eab,upt_subs,train_subs,,,,,4,0,false,,,,,,,,,,,0,,,,,0,false,0,0,,,,,,,,,,,,,,,,,0,0,false,,,,,0,0,0,0,0,false,0,0,0,0,4,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,"Chemin de la Mousse, 1225 Chêne-Bourg CH",46.1973718,6.1975452,40,,,,,,60,,Rue Jean Tschumi 1015 Ecublens CH,46.52034245,6.56488125,,36,-2wLTbubx_-OLD4MVCAFZQ,,0.7,0.7,0,0,1,1,0,0,,tpu,train,,47,47,47,52,55,47,54,55,,,,,,,tpg_pass,,,,cff_pass_ag,,,,,,,,,,,,,,,,,,,,2025-03-13T15:30:13.815785
1,,1,2025-03-13T14:36:10.581895,expensive,tiring,bad_weather,fast,pleasant,practical,slow,relax,safe,45-64,,,,,,,,,,,,false,,dependent,,,,100,car_driver,,,,,,,0,4,false,,,,,,,,,,,0,,,,,0,false,0,0,,,,,,,,,,,,,,,,,0,0,false,,,,,0,0,0,0,0,false,0,0,0,0,0,0,0,0,2,1,5,1,2,5,2,5,5,1,1,1,1,5,1,1290 Versoix CH,46.291218099999995,6.1587576,20,,,,,,60,,Route de la Galaise 32 1228 Plan-les-Ouates CH,46.1677445,6.1029748,,37,TlLXsHVbjEDc_UoUHco8tg,,0.7,1,0,0,1,1,0,0,,elec,train,,55,67,59,52,41,54,41,42,,,,,,,,,,,cff_pass_ag,,,,,,,,,,,,,,,,,,,,2025-03-13T14:41:09.501533
3,,2,2025-03-13T14:47:34.170455,fast,cheap,practical,healthy,autonomous,pleasant,polluting,dangerous,relax,65+,,,,,,,,,,,,false,,dependent,,,,100,bike,eab,train_subs,,,,,0,2,true,,,,,,,,,,,0,,,,,1,false,0,0,,,,,,,,,,,,,,,,,0,0,false,,,,,0,0,0,0,2,false,0,0,0,0,2,0,0,1,0,2,4,3,5,1,4,3,3,4,3,1,3,3,2,"Passerelle du Grand-Pont, 1003 Lausanne CH",46.5206725,6.630333,40,,,,,,30,,Rue Jean Tschumi 1015 Ecublens CH,46.52034245,6.56488125,,38,IF2Xin6MzOblZky_13adXA,,0.7,1,0,0,0,0,1,0,,vae,elec,,56,50,54,54,58,54,51,52,,,,,,,shower,bike_parking,,,ev_charging,,,,,,,,,train_pro,,,,train,,train,,,,,2025-03-13T14:49:16.330117
3,great job developers !,2,2025-03-13T15:17:09.862325,healthy,ecological,reliable,congested,tiring,unpleasant,ecological,safe,relax,26-44,,,,,,,,,,,,false,,dependent,,,,80,,,,,,,,0,0,false,,,,,,,,,,,0,,,,,0,false,0,0,,,,,,,,,,,,,,,,,0,0,false,,,,,0,0,0,0,0,false,0,0,0,0,0,0,5,0,2,1,5,2,4,3,5,4,5,1,1,1,1,1,5,"Chemin du Russel, 1025 Saint-Sulpice CH",46.5138779,6.564546050000001,20,,,,,,10,,"École Polytechnique Fédérale de Lausanne, Chemin du Pâqueret, 1025 Saint-Sulpice CH",46.518754400000006,6.566174200000001,,40,ycF5Q-SJlvmSd-7fRRReaA,,0.7,1,1,0,1,0,1,1,,elec,inter,,49,49,49,70,46,50,40,41,,,,,,,ev_charging,,,,cff_pass_ag,,,,,,,,,,,,,,,,,,,,2025-03-13T15:27:17.321867
3,,2,2025-03-13T15:30:19.921792,pleasant,healthy,ecological,polluting,tiring,congested,fast,ecological,practical,45-64,,,,,,,,,,,,false,,,,,,80,car_driver,train_subs,,,,,,0,2,true,,,,,,,,,,,0,,,,,0,false,0,0,,,,,,,,,,,,,,,,,0,0,false,,,,,0,0,0,0,0,false,0,0,0,0,2,2,0,0,0,0,4,1,5,4,1,4,1,1,1,1,5,1,1,74400 Chamonix-Mont-Blanc FR,45.9297923,6.92951685,40,,,,,,100,,Rue Jean Tschumi 1015 Ecublens CH,46.52034245,6.56488125,,43,cAZ9B1YLu5ACXQrGDP9qag,,0.7,0.7,0,0,0,0,0,0,,elec,covoit,,46,56,52,52,55,49,52,53,,,,,,,ev_charging,,,,carpool_connect,,,,,,,,,,,,,,,,,,,,2025-03-13T15:33:30.639278
3,"Please replace my origin by Zurich, Meierhofplatz and my travel time by 180 minutes.",2,2025-03-13T15:39:34.933226,cheap,tiring,ecological,polluting,congested,expensive,reliable,practical,ecological,26-44,,,,,,,,,,,,false,,,,,,100,,,,,,,,0,0,true,,,,,,,,,,,0,,,,,0,false,0,0,,,,,,,,,,,,,,,,,0,0,false,,,,,0,0,0,0,0,true,0,0,8,8,2,2,0,0,0,8,4,4,3,4,3,4,5,1,1,1,5,5,1,"Rue de Zurich, 1201 Genf CH",46.21207855,6.14571855,60,,,,,,120,,"École Polytechnique Fédérale de Lausanne, Route Cantonale, 1025 Ecublens CH",46.518754400000006,6.566174200000001,,44,9vyf688bLemyUqVWZ1gWkQ,,0.7,0.7,0,0,1,1,0,0,,tpu,train,,48,50,56,52,58,58,45,46,,,,,,,tpg_pass,,,,cff_pass_ag,,,,,,,,,train_pro,,,,,,train,,,,,2025-03-13T15:55:33.641586
